Feature,Correlation
price,1.0
accommodates,0.14632659168381937
bedrooms,0.14162743588359575
review_scores_cleanliness,0.02995388128382585
review_scores_value,0.020142552652591558
longitude,0.01960791813871087
review_scores_rating,0.015729767486980448
review_scores_location,0.013502536447778709
review_scores_accuracy,0.013436524746040394
host_id,0.011794664859895845
listing_id,0.011470728622070275
review_scores_checkin,0.010815106135135106
host_total_listings_count,0.00990892088493391
review_scores_communication,0.009198053627727444
minimum_nights,0.006343696656135433
maximum_nights,-0.0004420427542571623
host_response_rate,-0.010305005358272307
host_acceptance_rate,-0.024715285845837324
latitude,-0.09927794516302944
